centre_lat,centre_lon,sounding_count,ch4_blended_ppb
29.0750,121.6750,2,1826.97
29.0750,121.9250,0,
29.0750,122.1750,24,1862.57
29.0750,122.4250,22,1864.22
28.8250,114.9250,0,
28.8250,115.1750,20,1881.12
28.8250,115.4250,168,1885.24
28.8250,115.6750,99,1884.83
28.8250,115.9250,65,1891.79
28.8250,116.1750,45,1895.38
28.8250,116.4250,8,1883.89
28.8250,116.6750,103,1886.66
28.8250,116.9250,189,1881.69
28.8250,117.1750,148,1880.14
28.8250,117.4250,145,1876.39
28.8250,117.6750,43,1875.22
28.8250,117.9250,0,
28.8250,118.1750,15,1879.01
28.8250,118.4250,140,1878.68
28.8250,118.6750,92,1879.88
28.8250,118.9250,63,1884.08
28.8250,119.1750,6,1875.52
28.8250,119.4250,0,
28.8250,119.6750,21,1878.47
28.8250,119.9250,46,1887.11
28.8250,120.1750,39,1880.76
28.8250,120.4250,1,1873.90
28.8250,120.6750,3,1881.74
28.8250,120.9250,14,1871.28
28.8250,121.1750,11,1875.80
28.8250,121.4250,2,1901.37
28.8250,121.6750,1,1863.41
28.8250,121.9250,6,1872.82
28.8250,122.1750,15,1862.10
28.8250,122.4250,29,1845.26
28.5750,114.9250,62,1883.62
28.5750,115.1750,94,1885.97
28.5750,115.4250,188,1886.11
28.5750,115.6750,108,1887.40
28.5750,115.9250,23,1885.55
28.5750,116.1750,4,1896.95
28.5750,116.4250,9,1890.48
28.5750,116.6750,97,1886.82
28.5750,116.9250,149,1882.41
28.5750,117.1750,81,1879.52
28.5750,117.4250,94,1878.61
28.5750,117.6750,49,1877.07
28.5750,117.9250,87,1880.97
28.5750,118.1750,182,1880.70
